reviewer,relevant,title,original_authors,url,extracted_author,affiliations
N/A,False,DIVER: Oracle-Guided SMT Solver Testing with Unrestricted Random Mutations,"Kim, Jongwook, So, Sunbeom, Oh, Hakjoo",https://doi.org/10.1109/ICSE48619.2023.00187,Sunbeom So,"Korea University,Republic of Korea"
N/A,False,DIVER: Oracle-Guided SMT Solver Testing with Unrestricted Random Mutations,"Kim, Jongwook, So, Sunbeom, Oh, Hakjoo",https://doi.org/10.1109/ICSE48619.2023.00187,Hakjoo Oh,"Korea University,Republic of Korea"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Antonio Mastropaolo,"SEART @ Software Institute, Universit&#x00E0; della Svizzera italiana (USI),Switzerland"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Luca Pascarella,"SEART @ Software Institute, Universit&#x00E0; della Svizzera italiana (USI),Switzerland"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Emanuela Guglielmi,"University of Molise,STAKE Lab,Italy"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Matteo Ciniselli,"SEART @ Software Institute, Universit&#x00E0; della Svizzera italiana (USI),Switzerland"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Simone Scalabrino,"University of Molise,STAKE Lab,Italy"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Rocco Oliveto,"University of Molise,STAKE Lab,Italy"
N/A,False,On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Mastropaolo, Antonio, Pascarella, Luca, Guglielmi, Emanuela, Ciniselli, Matteo, Scalabrino, Simone, Oliveto, Rocco, Bavota, Gabriele",https://doi.org/10.1109/ICSE48619.2023.00181,Gabriele Bavota,"SEART @ Software Institute, Universit&#x00E0; della Svizzera italiana (USI),Switzerland"
N/A,False,Learning Deep Semantics for Test Completion,"Nie, Pengyu, Banerjee, Rahul, Li, Junyi Jessy, Mooney, Raymond J., Gligoric, Milos",https://doi.org/10.1109/ICSE48619.2023.00178,Pengyu Nie,"UT,Austin,USA"
N/A,False,Learning Deep Semantics for Test Completion,"Nie, Pengyu, Banerjee, Rahul, Li, Junyi Jessy, Mooney, Raymond J., Gligoric, Milos",https://doi.org/10.1109/ICSE48619.2023.00178,Rahul Banerjee,"UT,Austin,USA"
N/A,False,Learning Deep Semantics for Test Completion,"Nie, Pengyu, Banerjee, Rahul, Li, Junyi Jessy, Mooney, Raymond J., Gligoric, Milos",https://doi.org/10.1109/ICSE48619.2023.00178,Junyi Jessy Li,"UT,Austin,USA"
N/A,False,Learning Deep Semantics for Test Completion,"Nie, Pengyu, Banerjee, Rahul, Li, Junyi Jessy, Mooney, Raymond J., Gligoric, Milos",https://doi.org/10.1109/ICSE48619.2023.00178,Raymond J. Mooney,"UT,Austin,USA"
N/A,False,Learning Deep Semantics for Test Completion,"Nie, Pengyu, Banerjee, Rahul, Li, Junyi Jessy, Mooney, Raymond J., Gligoric, Milos",https://doi.org/10.1109/ICSE48619.2023.00178,Milos Gligoric,"UT,Austin,USA"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Ping Yu,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Yijian Wu,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Xin Peng,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Jiahan Peng,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Jian Zhang,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Peicheng Xie,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,ViolationTracker: Building Precise Histories for Static Analysis Violations,"Yu, Ping, Wu, Yijian, Peng, Xin, Peng, Jiahan, Zhang, Jian, Xie, Peicheng, Zhao, Wenyun",https://doi.org/10.1109/ICSE48619.2023.00171,Wenyun Zhao,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,Developers' Visuo-Spatial Mental Model and Program Comprehension,"Bouraffa, Abir, Fuhrmann, Gian-Luca, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00163,Abir Bouraffa,"Universit&#x00E4;t Hamburg,Applied Software Technology,Hamburg,Germany"
N/A,False,Developers' Visuo-Spatial Mental Model and Program Comprehension,"Bouraffa, Abir, Fuhrmann, Gian-Luca, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00163,Gian-Luca Fuhrmann,"Universit&#x00E4;t Hamburg,Applied Software Technology,Hamburg,Germany"
N/A,False,Developers' Visuo-Spatial Mental Model and Program Comprehension,"Bouraffa, Abir, Fuhrmann, Gian-Luca, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00163,Walid Maalej,"Universit&#x00E4;t Hamburg,Applied Software Technology,Hamburg,Germany"
N/A,False,Reliability Assurance for Deep Neural Network Architectures against Numerical Defects,"Li, Linyi, Zhang, Yuhao, Ren, Luyao, Xiong, Yingfei, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00156,Linyi Li,"University of Illinois Urbana-Champaign,Department of Computer Science"
N/A,False,Reliability Assurance for Deep Neural Network Architectures against Numerical Defects,"Li, Linyi, Zhang, Yuhao, Ren, Luyao, Xiong, Yingfei, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00156,Yuhao Zhang,"University of Wisconsin-Madison,Department of Computer Sciences"
N/A,False,Reliability Assurance for Deep Neural Network Architectures against Numerical Defects,"Li, Linyi, Zhang, Yuhao, Ren, Luyao, Xiong, Yingfei, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00156,Luyao Ren,"School of Computer Science, Peking University"
N/A,False,Reliability Assurance for Deep Neural Network Architectures against Numerical Defects,"Li, Linyi, Zhang, Yuhao, Ren, Luyao, Xiong, Yingfei, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00156,Yingfei Xiong,"School of Computer Science, Peking University"
N/A,False,Reliability Assurance for Deep Neural Network Architectures against Numerical Defects,"Li, Linyi, Zhang, Yuhao, Ren, Luyao, Xiong, Yingfei, Xie, Tao",https://doi.org/10.1109/ICSE48619.2023.00156,Tao Xie,"School of Computer Science, Peking University"
N/A,False,Fairify: Fairness Verification of Neural Networks,"Biswas, Sumon, Rajan, Hridesh",https://doi.org/10.1109/ICSE48619.2023.00134,Sumon Biswas,"School of Computer Science, Carnegie Mellon University,Pittsburgh,PA,USA"
N/A,False,Fairify: Fairness Verification of Neural Networks,"Biswas, Sumon, Rajan, Hridesh",https://doi.org/10.1109/ICSE48619.2023.00134,Hridesh Rajan,"Iowa State University,Dept. of Computer Science,Ames,IA,USA"
N/A,False,Testability Refactoring in Pull Requests: Patterns and Trends,"Reich, Pavel, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00131,Pavel Reich,"Universit&#x00E4;t Hamburg,Applied Software Technology,Hamburg,Germany"
N/A,False,Testability Refactoring in Pull Requests: Patterns and Trends,"Reich, Pavel, Maalej, Walid",https://doi.org/10.1109/ICSE48619.2023.00131,Walid Maalei,"Universit&#x00E4;t Hamburg,Applied Software Technology,Hamburg,Germany"
N/A,False,Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130,Zejun Zhang,"Australian National University,Australia"
N/A,False,Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130,Zhenchang Xing,"Australian National University,Australia"
N/A,False,Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130,Xin Xia,"Software Engineering Application Technology Lab,Huawei,China"
N/A,False,Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130,Xiwei Xu,"Data61, CSIRO,Australia"
N/A,False,Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130,Liming Zhu,"Data61, CSIRO,Australia"
N/A,False,Faster or Slower? Performance Mystery of Python Idioms Unveiled with Empirical Evidence,"Zhang, Zejun, Xing, Zhenchang, Xia, Xin, Xu, Xiwei, Zhu, Liming, Lu, Qinghua",https://doi.org/10.1109/ICSE48619.2023.00130,Qinghua Lu,"Data61, CSIRO,Australia"
N/A,False,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105,Chenyuan Yang,"University of Illinois,Urbana-Champaign"
N/A,False,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105,Yinlin Deng,"University of Illinois,Urbana-Champaign"
N/A,False,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105,Jiayi Yao,"The Chinese University of Hong Kong,Shenzhen"
N/A,False,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105,Yuxing Tu,Huazhong University of Science and Technology
N/A,False,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105,Hanchi Li,University of Science and Technology of China
N/A,False,Fuzzing Automatic Differentiation in Deep-Learning Libraries,"Yang, Chenyuan, Deng, Yinlin, Yao, Jiayi, Tu, Yuxing, Li, Hanchi, Zhang, Lingming",https://doi.org/10.1109/ICSE48619.2023.00105,Lingming Zhang,"University of Illinois,Urbana-Champaign"
N/A,False,Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098,Hao Zhang,"Institute of Software, CAS, China, Univ. of Chinese Academy of Sciences,State Key Lab. of Computer Science,Beijing,China"
N/A,False,Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098,Ji Luo,"Institute of Software, CAS, China, Univ. of Chinese Academy of Sciences,Tech. Center of Softw. Eng.,Beijing,China"
N/A,False,Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098,Mengze Hu,"Institute of Software, CAS, China, Hangzhou Institute for Advanced Study, Univ. of Chinese Academy of Sciences,State Key Lab. of Computer Science,Beijing,China"
N/A,False,Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098,Jun Yan,"Institute of Software, CAS, China, Univ. of Chinese Academy of Sciences,State Key Lab. of Computer Science,Beijing,China"
N/A,False,Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098,Jian Zhang,"Institute of Software, CAS, China, Univ. of Chinese Academy of Sciences,State Key Lab. of Computer Science,Beijing,China"
N/A,False,Detecting Exception Handling Bugs in C++ Programs,"Zhang, Hao, Luo, Ji, Hu, Mengze, Yan, Jun, Zhang, Jian, Qiu, Zongyan",https://doi.org/10.1109/ICSE48619.2023.00098,Zongyan Qiu,"School of Mathematical Sciences, Peking University,Beijing,China"
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Yunbo Lyu,Singapore Management University
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Thanh Le-Cong,Singapore Management University
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Hong Jin Kang,Singapore Management University
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Ratnadira Widyasari,Singapore Management University
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Zhipeng Zhao,Singapore Management University
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Xuan-Bach D. Le,The University of Melbourne
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,Ming Li,Nanjing University
DW,False,Chronos: Time-Aware Zero-Shot Identification of Libraries from Vulnerability Reports,"Lyu, Yunbo, Le-Cong, Thanh, Kang, Hong Jin, Widyasari, Ratnadira, Zhao, Zhipeng, Le, Xuan-Bach D., Li, Ming, Lo, David",https://doi.org/10.1109/ICSE48619.2023.00094,David Lo,Singapore Management University
N/A,False,Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,"Feng, Sidong, Xie, Mulong, Chen, Chunyang",https://doi.org/10.1109/ICSE48619.2023.00084,Sidong Feng,"Monash University,Melbourne,Australia"
N/A,False,Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,"Feng, Sidong, Xie, Mulong, Chen, Chunyang",https://doi.org/10.1109/ICSE48619.2023.00084,Mulong Xie,"Australian National University,Canberra,Australia"
N/A,False,Efficiency Matters: Speeding Up Automated Testing with GUI Rendering Inference,"Feng, Sidong, Xie, Mulong, Chen, Chunyang",https://doi.org/10.1109/ICSE48619.2023.00084,Chunyang Chen,"Monash University,Melbourne,Australia"
N/A,False,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Rong, Guoping, Gu, Shenghui, Shen, Haifeng, Zhang, He, Kuang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00080,Guoping Rong,"Nonjing University,State Key Laboratory For Novel Software Technology,Nanjing,China"
N/A,False,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Rong, Guoping, Gu, Shenghui, Shen, Haifeng, Zhang, He, Kuang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00080,Shenghui Gu,"Nonjing University,State Key Laboratory For Novel Software Technology,Nanjing,China"
N/A,False,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Rong, Guoping, Gu, Shenghui, Shen, Haifeng, Zhang, He, Kuang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00080,Haifeng Shen,"Peter Faber Business School, Australian Catholic University,HilstLab,Sydney,Australia"
N/A,False,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Rong, Guoping, Gu, Shenghui, Shen, Haifeng, Zhang, He, Kuang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00080,He Zhang,"Nonjing University,State Key Laboratory For Novel Software Technology,Nanjing,China"
N/A,False,How Do Developers' Profiles and Experiences Influence their Logging Practices? An Empirical Study of Industrial Practitioners,"Rong, Guoping, Gu, Shenghui, Shen, Haifeng, Zhang, He, Kuang, Hongyu",https://doi.org/10.1109/ICSE48619.2023.00080,Hongyu Kuang,"Nonjing University,State Key Laboratory For Novel Software Technology,Nanjing,China"
N/A,False,Revisiting Learning-Based Commit Message Generation,"Dong, Jinhao, Lou, Yiling, Hao, Dan, Tan, Lin",https://doi.org/10.1109/ICSE48619.2023.00075,Jinhao Dong,"School of Computer Science, Peking University,Key Laboratory of High Confidence Software Technologies (Peking University), MoE,Beijing,China"
N/A,False,Revisiting Learning-Based Commit Message Generation,"Dong, Jinhao, Lou, Yiling, Hao, Dan, Tan, Lin",https://doi.org/10.1109/ICSE48619.2023.00075,Yiling Lou,"School of Computer Science, Fudan University,Shanghai,China"
N/A,False,Revisiting Learning-Based Commit Message Generation,"Dong, Jinhao, Lou, Yiling, Hao, Dan, Tan, Lin",https://doi.org/10.1109/ICSE48619.2023.00075,Dan Hao,"School of Computer Science, Peking University,Key Laboratory of High Confidence Software Technologies (Peking University), MoE,Beijing,China"
N/A,False,Revisiting Learning-Based Commit Message Generation,"Dong, Jinhao, Lou, Yiling, Hao, Dan, Tan, Lin",https://doi.org/10.1109/ICSE48619.2023.00075,Lin Tan,"Purdue University,Department of Computer Science,West Lafayette,USA"
N/A,False,Using Reactive Synthesis: An End-to-End Exploratory Case Study,"Ma'ayan, Dor, Maoz, Shahar",https://doi.org/10.1109/ICSE48619.2023.00071,Dor Ma'ayan,"Tel Aviv University,Israel"
N/A,False,Using Reactive Synthesis: An End-to-End Exploratory Case Study,"Ma'ayan, Dor, Maoz, Shahar",https://doi.org/10.1109/ICSE48619.2023.00071,Shahar Maoz,"Tel Aviv University,Israel"
N/A,False,Concrat: An Automatic C-to-Rust Lock API Translator for Concurrent Programs,"Hong, Jaemin, Ryu, Sukyoung",https://doi.org/10.1109/ICSE48619.2023.00069,Jaemin Hong,"School of Computing KAIST,Daejeon,South Korea"
N/A,False,Concrat: An Automatic C-to-Rust Lock API Translator for Concurrent Programs,"Hong, Jaemin, Ryu, Sukyoung",https://doi.org/10.1109/ICSE48619.2023.00069,Sukyoung Ryu,"School of Computing KAIST,Daejeon,South Korea"
N/A,False,From Organizations to Individuals: Psychoactive Substance Use by Professional Programmers,"Newman, Kaia, Endres, Madeline, Weimer, Westley, Johnson, Brittany",https://doi.org/10.1109/ICSE48619.2023.00065,Kaia Newman,"University of Michigan,Computer Science and Engineering,Ann Arbor,Michigan,USA"
