title,authors
Boosting Path-Sensitive Value Flow Analysis via Removal of Redundant Summaries,"Yongchao WANG,Yuandao Cai,Charles Zhang"
Boosting Static Resource Leak Detection via LLM-based Resource-Oriented Intention InferenceSecurity,"Chong Wang,Jianan Liu,Xin Peng,Yang Liu,Yiling Lou"
BSan: A Powerful Identifier-Based Hardware-Independent Memory Error Detector for COTS Binaries,"Wen Zhang,Botang Xiao,Qingchen Kong,Le Guan,Wenwen Wang"
Calibration and Correctness of Language Models for Code,"Claudio Spiess,David Gros,Kunal Suresh Pai,Michael Pradel,Rafiqul Rabin,Amin Alipour,Susmit Jha,Prem Devanbu,Toufique Ahmed"
Can an LLM find its way around a Spreadsheet?,"Cho-Ting Lee,Andrew Neeser,Shengzhe Xu,Jay Katyan,Patrick Cross,Sharanya Pathakota,Marigold Norman,John C. Simeone,Jaganmohan Chandrasekaran,Naren Ramakrishnan"
ChatGPT-Based Test Generation for Refactoring Engines Enhanced by Feature Analysis on Examples,"Chunhao Dong,Yanjie Jiang,Yuxia Zhang,Yang Zhang,Hui Liu"
ChatGPT Inaccuracy Mitigation during Technical Report Understanding: Are We There Yet?,"Salma Begum Tamanna,Gias Uddin,Song Wang,Lan Xia,Longyu Zhang"
Chord: Towards a Unified Detection of Blockchain Transaction Parallelism BugsBlockchain,"Yuanhang Zhou,Zhen Yan,Yuanliang Chen,Fuchen Ma,Ting Chen,Yu Jiang"
Closing the Gap: A User Study on the Real-world Usefulness of AI-powered Vulnerability Detection & Repair in the IDESecurity,"Benjamin Steenhoek,Siva Sivaraman,Renata Saldivar Gonzalez,Yevhen Mohylevskyy,Roshanak Zilouchian Moghaddam,Wei Le"
ClozeMaster: Fuzzing Rust Compiler by Harnessing LLMs for Infilling Masked Real Programs,"Hongyan Gao,Yibiao Yang,Maolin Sun,Jiangchang Wu,Yuming Zhou,Baowen Xu"
COCA: Generative Root Cause Analysis for Distributed Systems with Code Knowledge,"Yichen LI,Yulun Wu,Jinyang Liu,Zhihan Jiang,Zhuangbin Chen,Guangba  Yu,Michael Lyu"
"Code Cloning in Solidity Smart Contracts: Prevalence, Evolution, and Impact on DevelopmentBlockchain","Ran Mo,Haopeng Song,Wei Ding,Chaochao Wu"
Code Comment Inconsistency Detection and Rectification Using a Large Language Model,"Guoping Rong,YongdaYu,Song Liu,Xin Tan,Tianyi Zhang,Haifeng Shen,Jidong Hu"
CodeImprove: Program Adaptation for Deep Code ModelsSE for AI,"Ravishka Shemal Rathnasuriya,zijie zhao,Wei Yang"
"Code Today, Deadline Tomorrow: Procrastination Among Software Developers","Zeinabsadat Saghi,Thomas Zimmermann,Souti Chattopadhyay"
Combining Fine-Tuning and LLM-based Agents for Intuitive Smart Contract Auditing with JustificationsBlockchainSecurity,"Wei Ma,Daoyuan Wu,Yuqiang Sun,Tianwen Wang,Shangqing Liu,Jian Zhang,Yue Xue,Yang Liu"
Coni: Detecting Database Connector Bugs via State-Aware Test Case Generation,"Wenqian Deng,Zhiyong Wu,Jie Liang,Jingzhou Fu,Mingzhe Wang,Yu Jiang"
ConsCS: Effective and Efficient Verification of Circom CircuitsFormal Methods,"Jinan Jiang,Xinghao Peng,Jinzhao Chu,Xiapu Luo"
Constrained LTL Specification Learning from ExamplesFormal Methods,"Changjian Zhang,Parv Kapoor,Ian Dardik,Leyi Cui,Romulo Meira-Goes,David Garlan,Eunsuk Kang"
Context Conquers Parameters: Outperforming Proprietary LLM in Commit Message Generation,"Aaron Imani,Iftekhar Ahmed,Mohammad Moshirpour"
Cooperative Software Verification via Dynamic Program SplittingSecurity,"Cedric Richter,Marek Chalupa,Marie-Christine Jakobs,Heike Wehrheim"
Critical Variable State-Aware Directed Greybox Fuzzing,"Xu Chen,Ningning Cui,Zhe Pan,Liwei Chen,Gang Shi,Dan Meng"
Datalog-Based Language-Agnostic Change Impact Analysis for Microservices,"Qingkai Shi,Xiaoheng Xie,Xianjin Fu,Peng Di,Huawei Li,Ang Zhou,Gang Fan"
Decictor: Towards Evaluating the Robustness of Decision-Making in Autonomous Driving Systems,"Mingfei Cheng,Xiaofei Xie,Yuan Zhou,Junjie Wang,Guozhu Meng,Kairui Yang"
Decoding Secret Memorization in Code LLMs Through Token-Level CharacterizationSecurity,"Yuqing Nie,Chong Wang,Kailong Wang,Guoai Xu,Guosheng Xu,Haoyu Wang"
Decoding the Issue Resolution Process In Practice via Issue Report Analysis: A Case Study of Firefox,"Antu Saha,Oscar Chaparro"
Deep Learning-based Code Reviews: A Paradigm Shift or a Double-Edged Sword?,"Rosalia Tufano,Alberto Martin-Lopez,Ahmad Tayeb,Ozren Dabic,Sonia Haiduc,Gabriele Bavota"
Definition and Detection of Centralization Defects in Smart ContractsBlockchain,"Zewei Lin,Jiachi Chen,Jiajing Wu,Weizhe Zhang,Zibin Zheng"
Demystifying and Detecting Cryptographic Defects in Ethereum Smart ContractsBlockchainAward Winner,"Jiashuo Zhang,Yiming Shen,Jiachi Chen,Jianzhong Su,Yanlin Wang,Ting Chen,Jianbo Gao,Zhong Chen"
DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models,"Mingyue Yuan,Jieshan Chen,Zhenchang Xing,Aaron Quigley,Yuyu Luo,Tianqi Luo,Gelareh Mohammadi,Qinghua Lu,Liming Zhu"
Dissecting Global Search: A Simple yet Effective Method to Boost Individual Discrimination Testing and RepairSE for AI,"Lili Quan,Li Tianlin,Xiaofei Xie,Zhenpeng Chen,Sen Chen,Lingxiao Jiang,Xiaohong Li"
Distilled Lifelong Self-Adaptation for Configurable Systems,"Yulong Ye,Tao Chen,Miqing Li"
Diversity Drives Fairness: Ensemble of Higher Order Mutants for Intersectional Fairness of Machine Learning SoftwareSecuritySE for AI,"Zhenpeng Chen,Xinyue Li,Jie M. Zhang,Federica Sarro,Yang Liu"
Dockerfile Flakiness: Characterization and Repair,"Taha Shabani,Noor Nashid,Parsa Alian,Ali Mesbah"
Does GenAI Make Usability Testing Obsolete?Award Winner,"Ali Ebrahimi Pourasad,Walid Maalej"
DPFuzzer: Discovering Safety Critical Vulnerabilities for Drone Path PlannersSecurity,"Yue Wang,Chao Yang,Xiaodong Zhang,Yuwanqi Deng,Jianfeng Ma"
Early Detection of Performance Regressions by Bridging Local Performance Data and Architectural ModelsSecurityAward Winner,"Lizhi Liao,Simon Eismann,Heng Li,Cor-Paul Bezemer,Diego Elias Costa,André van Hoorn,Weiyi Shang"
EffBT: An Efficient Behavior Tree Reactive Synthesis and Execution FrameworkFormal Methods,"ziji wu,yu huang,peishan huang,shanghua wen,minglong li,Ji Wang"
Efficient Domain Augmentation for Autonomous Driving Testing Using Diffusion Models,"Luciano Baresi,Davide Yi Xian Hu,Andrea Stocco,Paolo Tonella"
Enhancing Code Generation via Bidirectional Comment-Level Mutual Grounding,"Yifeng Di,Tianyi Zhang"
Enhancing Fault Localization in Industrial Software Systems via Contrastive Learning,"Chun Li,Hui Li,Zhong Li,Minxue Pan,Xuandong Li"
Enhancing The Open Network: Definition and Automated Detection of Smart Contract DefectsBlockchainSecurityAward Winner,"Hao Song,Teng Li,Jiachi Chen,Ting Chen,Beibei Li,Zhangyan Lin,Yi Lu,Pan Li,Xihan Zhou"
EP-Detector: Automatic Detection of Error-prone Operation Anomalies in Android ApplicationsSecurity,"Chenkai Guo,Qianlu Wang,Naipeng Dong,Lingling Fan,Tianhong Wang,Weijie Zhang,EnBao Chen,Zheli Liu,Lu Yu"
Evaluating Garbage Collection Performance Across Managed Language Runtimes,"Yicheng Wang,Wensheng Dou,Yu Liang,Yi Wang,Wei Wang,Jun Wei,Tao Huang"
Execution Trace Reconstruction Using Diffusion-Based Generative Models,"Madeline Janecek,Naser Ezzati Jivan,Wahab Hamou-Lhadj"
exLong: Generating Exceptional Behavior Tests with Large Language Models,"Jiyang Zhang,Yu Liu,Pengyu Nie,Junyi Jessy Li,Milos Gligoric"
Exploring the Robustness of the Effect of EVO on Intention Valuation through ReplicationAward Winner,"Yesugen Baatartogtokh,Kaitlyn Cook,Alicia M. Grubb"
Exposing the Hidden Layer: Software Repositories in the Service of SEO ManipulationSecurity,"Mengying Wu,Geng Hong,Wuyuao Mai,Xinyi Wu,Lei Zhang,Yingyuan Pu,Huajun Chai,Lingyun Ying,Haixin Duan,Min Yang"
FairChecker: Detecting Fund-stealing Bugs in DeFi Protocols via Fairness ValidationBlockchainSecurity,"Yi Sun,Zhuo Zhang,Xiangyu Zhang"
Fairness Testing through Extreme Value TheorySE for AI,"Verya Monjezi,Ashutosh Trivedi,Vladik Kreinovich,Saeid Tizpaz-Niari"
FairQuant: Certifying and Quantifying Fairness of Deep Neural NetworksSE for AI,"Brian Hyeongseok Kim,Jingbo Wang,Chao Wang"
FairSense: Long-Term Fairness Analysis of ML-Enabled SystemsSecuritySE for AI,"Yining She,Sumon Biswas,Christian Kästner,Eunsuk Kang"
FAMOS: Fault diagnosis for Microservice Systems through Effective Multi-modal Data FusionSecurity,"Chiming Duan,Yong Yang,Tong Jia,Guiyang Liu,Jinbu Liu,Huxing Zhang,Qi Zhou,Ying Li,Gang Huang"
Faster Configuration Performance Bug Testing with Neural Dual-level Prioritization,"Youpeng Ma,Tao Chen,Ke Li"
Feature-Driven End-To-End Test Generation,"Parsa Alian,Noor Nashid,Mobina Shahbandeh,Taha Shabani,Ali Mesbah"
Fidelity of Cloud Emulators: The Imitation Game of Testing Cloud-based Software,"Anna Mazhar,Saad Sher Alam,William Zheng,Yinfang Chen,Suman Nath,Tianyin Xu"
FixDrive: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per ViolationSE for AI,"Yang Sun,Chris Poskitt,Kun Wang,Jun Sun"
Fixing Large Language Models' Specification Misunderstanding for Better Code GenerationSE for AI,"Zhao Tian,Junjie Chen,Xiangyu Zhang"
Fork State-Aware Differential Fuzzing for Blockchain Consensus ImplementationsBlockchain,"Won Hoi Kim,Hocheol Nam,Muoi Tran,Amin Jalilov,Zhenkai Liang,Sang Kil Cha,Min Suk Kang"
Formally Verified Binary-level Pointer AnalysisFormal Methods,"Freek Verbeek,Ali Shokri,Daniel Engel,Binoy Ravindran"
Formally Verified Cloud-Scale AuthorizationAward Winner,"Aleks Chakarov,Jaco Geldenhuys,Matthew Heck,MIchael Hicks,Samuel Huang,Georges-Axel Jaloyan,Anjali Joshi,K. Rustan M. Leino,Mikael Mayer,Sean McLaughlin,Akhilesh Mritunjai,Clement Pit-Claudel,Sorawee Porncharoenwase,Florian Rabe,Marianna Rapoport,Giles Reger,Cody Roux,Neha Rungta,Robin Salkeld,Matthias Schlaipfer,Daniel Schoepe,Johanna Schwartzentruber,Serdar Tasiran,Aaron Tomb,Emina Torlak,Jean-Baptiste Tristan,Lucas Wagner,Michael Whalen,Remy Willems,Tongtong Xiang,Taejoon Byun,Joshua M. Cohen,Ruijie Fang,Junyoung Jang,Jakob Rath,Hira Taqdees Syeda,Dominik Wagner,Yongwei Yuan"
From Bugs to Benefits: Improving User Stories by Leveraging Crowd Knowledge with CrUISE-AC,"Stefan Schwedt,Thomas Ströder"
Fuzzing MLIR Compilers with Custom Mutation Synthesis,"Ben Limpanukorn,Jiyuan Wang,Hong Jin Kang,Eric Zitong Zhou,Miryung Kim"
GARL: Genetic Algorithm-Augmented Reinforcement Learning to Detect Violations in Marker-Based Autonomous Landing Systems,"Linfeng Liang,Yao Deng,Kye Morton,Valtteri Kallinen,Alice James,Avishkar Seth,Endrowednes Kuantama,Subhas Mukhopadhyay,Richard Han,Xi Zheng"
GenC2Rust: Towards Generating Generic Rust Code from C,"Xiafa Wu,Brian Demsky"
"""Get Me In The Groove"": A Mixed Methods Study on Supporting ADHD Professional Programmers","Kaia Newman,Sarah Snay,Madeline Endres,Manasvi Parikh,Andrew Begel"
Gpass: a Goal-adaptive Neural Theorem Prover based on Coq for Automated Formal VerificationFormal Methods,"Yizhou Chen,Zeyu Sun,Guoqing Wang,Dan Hao"
GVI: Guided Vulnerability Imagination for Boosting Deep Vulnerability DetectorsSecurity,"Heng Yong,Zhong Li,Minxue Pan,Tian Zhang,Jianhua Zhao,Xuandong Li"
HedgeCode: A Multi-Task Hedging Contrastive Learning Framework for Code Search,"Gong Chen,Xiaoyuan Xie,Xunzhu Tang,Qi Xin,Wenjie Liu"
Hetrify: Efficient Verification of Heterogeneous Programs on RISC-VSecurityAward Winner,"Yiwei Li,Liangze Yin,Wei Dong,Jiaxin Liu,Yanfeng Hu,Shanshan Li"
HIFI: Explaining and Mitigating Algorithmic Bias through the Lens of Game-Theoretic InteractionsSecuritySE for AI,"Lingfeng Zhang,Zhaohui Wang,Yueling Zhang,Min Zhang,Jiangtao Wang"
Hints Help Finding and Fixing Bugs Differently in Python and Text-based Program Representations,"Ruchit Rawal,Victor-Alexandru Padurean,Sven Apel,Adish Singla,Mariya Toneva"
"How Scientists Use Jupyter Notebooks: Goals, Quality Attributes, and Opportunities","Ruanqianqian (Lisa) Huang,Savitha Ravi,Michael He,Boyu Tian,Sorin Lerner,Michael Coblenz"
HumanEvo: An Evolution-aware Benchmark for More Realistic Evaluation of Repository-level Code Generation,"Dewu Zheng,Yanlin Wang,Ensheng Shi,Ruikai Zhang,Yuchi Ma,Hongyu Zhang,Zibin Zheng"
Hyperion: Unveiling DApp Inconsistencies using LLM and Dataflow-Guided Symbolic ExecutionSecurity,"Shuo Yang,Xingwei Lin,Jiachi Chen,Qingyuan Zhong,Lei Xiao,renke huang,Yanlin Wang,Zibin Zheng"
Improved Detection and Diagnosis of Faults in Deep Neural Networks Using Hierarchical and Explainable ClassificationSE for AI,"Sigma Jahan,Mehil Shah,Parvez Mahbub,Masud Rahman"
Increasing the Effectiveness of Automatically Generated Tests by Improving Class ObservabilityAward Winner,"Geraldine Galindo-Gutierrez,Juan Pablo Sandoval Alcocer,Nicolas Jimenez-Fuentes,Alexandre Bergel,Gordon Fraser"
Instruct or Interact? Exploring and Eliciting LLMs’ Capability in Code Snippet Adaptation Through Prompt Engineering,"Tanghaoran Zhang,Yue Yu,Xinjun Mao,Shangwen Wang,Kang Yang,Yao Lu,Zhang Zhang,Yuxin Zhao"
Instrumentation-Driven Evolution-Aware Runtime Verification,"Kevin Guan,Owolabi Legunsen"
InSVDF: Interface-State-Aware Virtual Device Fuzzing,"Zexiang Zhang,Gaoning Pan,Ruipeng Wang,Yiming Tao,Zulie Pan,Cheng Tu,Min Zhang,Yang Li,Yi Shen,Chunming Wu"
Intention is All You Need: Refining Your Code from Your Intention,"Qi Guo,Xiaofei Xie,Shangqing Liu,Ming Hu,Xiaohong Li,Lei Bu"
Interactive Cross-Language Pointer Analysis for Resolving Native Code in Java ProgramsAward Winner,"Chenxi Zhang,Yufei Liang,Tian Tan,Chang Xu,Shuangxiang Kan,Yulei Sui,Yue Li"
InterTrans: Leveraging Transitive Intermediate Translations to Enhance LLM-based Code Translation,"Marcos Macedo,Yuan Tian,Pengyu Nie,Filipe Cogo,Bram Adams"
Investigating the Impact of Interpersonal Challenges on Feeling Welcome in OSS,"Bianca Trinkenreich,Zixuan Feng,Rudrajit Choudhuri,Marco Gerosa,Anita Sarma,Igor Steinmacher"
Invivo Fuzzing by Amplifying Actual Executions,"Octavio Galland,Marcel Böhme"
IRFuzzer: Specialized Fuzzing for LLVM Backend Code Generation,"Yuyang Rong,Zhanghan Yu,Zhenkai Weng,Stephen Neuendorffer,Hao Chen"
Iterative Generation of Adversarial Example for Deep Code ModelsSE for AIAward Winner,"Li Huang,Weifeng Sun,Meng Yan"
Janus: Detecting Rendering Bugs in Web Browsers via Visual Delta Consistency,"Chijin Zhou,Quan Zhang,Bingzhou Qian,Yu Jiang"
Knowledge-Enhanced Program Repair for Data Science Code,"Shuyin Ouyang,Jie M. Zhang,Zeyu Sun,Albert Merono Penuela"
Large Language Models as Configuration ValidatorsSecurity,"Xinyu Lian,Yinfang Chen,Runxiang Cheng,Jie Huang,Parth Thakkar,Minjia Zhang,Tianyin Xu"
Large Language Models for Safe Minimization,"Aashish Yadavally,Xiaokai Rong,Phat Nguyen,Tien N. Nguyen"
Leveraging Large Language Models for Enhancing the Understandability of Generated Unit Tests,"Amirhossein Deljouyi,Roham Koohestani,Maliheh Izadi,Andy Zaidman"
Leveraging Large Language Models to Detect npm Malicious PackagesSecurity,"Nusrat Zahan,Philipp Burckhardt,Mikola Lysenko,Feross Aboukhadijeh,Laurie Williams"
Leveraging Propagated Infection to Crossfire Mutants,"Hang Du,Vijay Krishna Palepu,James Jones"
LibreLog: Accurate and Efficient Unsupervised Log Parsing Using Open-Source Large Language Models,"Zeyang Ma,Dong Jae Kim,Tse-Hsun (Peter) Chen"
LiCoEval: Evaluating LLMs on License Compliance in Code Generation,"Weiwei Xu,Kai Gao,Hao He,Minghui Zhou"
Lightweight Concolic Testing via Path-Condition Synthesis for Deep Learning LibrariesSE for AI,"Sehoon Kim,Yonghyeon Kim,Dahyeon Park,Yuseok Jeon,Jooyong Yi,Mijung Kim"
LiSSA: Toward Generic Traceability Link Recovery through Retrieval-Augmented Generation,"Dominik Fuchß,Tobias Hey,Jan Keim,Haoyu Liu,Niklas Ewald,Tobias Thirolf,Anne Koziolek"
LLM-Agents Driven Automated Simulation Testing and Analysis of small Uncrewed Aerial Systems,"Venkata Sai Aswath Duvvuru,Bohan Zhang,Michael Vierhauser,Ankit Agrawal"
LLM-aided Automatic Modeling for Security Protocol VerificationSecurityFormal Methods,"Ziyu Mao,Jingyi Wang,Jun Sun,Shengchao Qin,Jiawen Xiong"
LLM Assistance for Memory SafetySecurity,"Nausheen Mohammed,Akash Lal,Aseem Rastogi,Subhajit Roy,Rahul Sharma"
LLM Based Input Space Partitioning Testing for Library APIs,"Jiageng Li,Zhen Dong,Chong Wang,Haozhen You,Cen Zhang,Yang Liu,Xin Peng"
LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-based Code Completion,"Chong Wang,Kaifeng Huang,Jian Zhang,Yebo Feng,Lyuye Zhang,Yang Liu,Xin Peng"
LWDIFF: An LLM-Assisted Differential Testing Framework for WebAssembly Runtimes,"Shiyao Zhou,Jincheng Wang,He Ye,Hao Zhou,Claire Le Goues,Xiapu Luo"
Magika: AI-Powered Content-Type DetectionSecurity,"Yanick Fratantonio,Luca Invernizzi,Loua Farah,Kurt Thomas,Marina Zhang,Ange Albertini,Francois Galilee,Giancarlo Metitieri,Julien Cretin,Alex Petit-Bianco,David Tao,Elie Bursztein"
MARQ: Engineering Mission-Critical AI-based Software with Automated Result Quality AdaptationSE for AI,"Uwe Gropengießer,Elias Dietz,Florian Brandherm,Achref Doula,Osama Abboud,Xun Xiao,Max Mühlhäuser"
Measuring the Runtime Performance of C++ Code Written by Humans using GitHub Copilot,"Daniel Erhabor,Sreeharsha Udayashankar,Mei Nagappan,Samer Al-Kiswany"
Metamorphic-Based Many-Objective Distillation of LLMs for Code-related Tasks,Annibale Panichella
Mobile Application Coverage: The 30% Curse and Ways Forward,"Faridah Akinotcho,Lili Wei,Julia Rubin"
Mock Deep Testing: Toward Separate Development of Data and Models for Deep LearningSE for AI,"Ruchira Manke,Mohammad Wardat,Foutse Khomh,Hridesh Rajan"
Model Editing for LLMs4Code: How Far are We?,"Xiaopeng Li,Shangwen Wang,Shasha Li,Jun Ma,Jie Yu,Xiaodong Liu,Jing Wang,Bin Ji,Weimin Zhang"
Module-Aware Context Sensitive Pointer Analysis,"Haofeng Li,Chenghang Shi,Jie Lu,Lian Li,Zixuan Zhao"
Moye: A Wallbreaker for Monolithic Firmware,"Jintao Huang,Kai Yang,Gaosheng Wang,Zhiqiang Shi,Zhiwen Pan,Shichao Lv,Limin Sun"
Navigating the Testing of Evolving Deep Learning Systems: An Exploratory Interview Study,"Hanmo You,Zan Wang,Bin Lin,Junjie Chen"
Neurosymbolic Modular Refinement Type Inference,"Georgios Sakkas,Pratyush Sahu,Kyeling Ong,Ranjit Jhala"
NIODebugger: A Novel Approach to Repair Non-Idempotent-Outcome Tests with LLM-Based Agent,Kaiyao Ke
"No Harness, No Problem: Oracle-guided Harnessing for Auto-generating C API Fuzzing Harnesses","Gabriel Sherman,Stefan Nagy"
On Prescription or Off Prescription? An Empirical Study of Community-prescribed Security Configurations for KubernetesSecurity,"Shazibul Islam Shamim,Hanyang Hu,Akond Rahman"
On the Mistaken Assumption of Interchangeable Deep Reinforcement Learning ImplementationsSE for AI,"Rajdeep Singh Hundal,Yan Xiao,Xiaochun Cao,Jin Song Dong,Manuel Rigger"
PacDroid: A Pointer-Analysis-Centric Framework for Security Vulnerabilities in Android AppsSecurityAward Winner Best Artifact,"Menglong Chen,Tian Tan,Minxue Pan,Yue Li"
PairSmell: A Novel Perspective Inspecting Software Modular StructureAward Winner,"Chenxing Zhong,Daniel Feitosa,Paris Avgeriou,Huang Huang,Yue Li,He Zhang"
Parametric Falsification of Many Probabilistic Requirements under Flakiness,"Matteo Camilli,Raffaela Mirandola"
Patch Synthesis for Property Repair of Deep Neural NetworksSE for AI,"Zhiming Chi,Jianan Ma,Pengfei Yang,Cheng-Chao Huang,Renjue Li,Jingyi Wang,Xiaowei Huang,Lijun Zhang"
Pattern-based Generation and Adaptation of Quantum WorkflowsQuantum,"Martin Beisel,Johanna Barzen,Frank Leymann,Lavinia Stiliadou,Daniel Vietz,Benjamin Weder"
Planning a Large Language Model for Static Detection of Runtime Errors in Code Snippets,"Smit Soneshbhai Patel,Aashish Yadavally,Hridya Dhulipala,Tien N. Nguyen"
Practical Object-Level Sanitizer With Aggregated Memory Access and Custom AllocatorSecurity,"Xiaolei wang,Ruilin Li,Bin Zhang,Chao Feng,Chaojing Tang"
